"","ISO3","NAMEfr","NAMEen","name","gdp","source"
"199","UZB","Ouzbékistan","Uzbekistan","Uzbekistan","63.302999999999997","IMF (2021)"
"200","VAT","Vatican","Vatican",NA,NA,NA
"201","VCT","Saint-Vincent-et-les Grenadines","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","0.81899999999999995","IMF (2021)"
"202","VEN","Venezuela","Venezuela","Venezuela","43.749000000000002","IMF (2021)"
"203","VNM","Viet Nam","Vietnam","Vietnam","369.49400000000003","IMF (2021)"
"204","VUT","Vanuatu","Vanuatu","Vanuatu","0.91200000000000003","IMF (2021)"
"205","WSM","Samoa","Samoa","Samoa","0.82999999999999996","IMF (2021)"
"206","YEM","Yémen","Yemen","Yemen","19.056000000000001","IMF (2021)"
"207","ZAF","Afrique du Sud","South Africa","South Africa","317.19099999999997","IMF (2021)"
"208","ZMB","Zambie","Zambia","Zambia","19.564","IMF (2021)"
"209","ZWE","Zimbabwe","Zimbabwe","Zimbabwe","7.9969999999999999","IMF (2021)"
